x,y,radius,z
32.66,22.69,1.6,-1.0
31.92,6.66,1.59,-0.99
11.71,6.74,1.59,-0.99
10.06,23.43,1.34,-0.74
36.12,20.14,1.28,-0.68
12.54,23.43,1.07,-0.47
30.02,23.1,1.07,-0.47
33.57,8.71,1.02,-0.42
7.5,20.14,1.0,-0.4
30.18,28.53,0.99,-0.39
10.89,9.21,0.99,-0.39
35.21,22.2,0.94,-0.34
34.31,5.92,0.9,-0.3
8.41,21.95,0.88,-0.28
33.15,4.52,0.86,-0.26
31.67,9.13,0.86,-0.26
11.46,21.7,0.85,-0.25
12.78,9.04,0.85,-0.25
31.17,24.66,0.85,-0.25
30.68,21.21,0.85,-0.25
11.38,25.16,0.83,-0.23
9.57,7.89,0.82,-0.22
34.14,20.8,0.8,-0.2
9.48,6.0,0.76,-0.16
31.42,4.36,0.75,-0.15
32.74,25.07,0.74,-0.14
9.9,21.21,0.74,-0.14
34.72,23.92,0.74,-0.14
13.86,7.65,0.73,-0.13
10.8,4.6,0.72,-0.12
13.44,28.53,0.72,-0.12
13.11,21.7,0.71,-0.11
34.8,7.48,0.71,-0.11
13.86,5.92,0.7,-0.1
8.0,23.51,0.7,-0.1
12.95,25.16,0.7,-0.1
12.54,4.6,0.7,-0.1
5.77,20.14,0.68,-0.08
32.74,10.28,0.66,-0.06
14.27,23.51,0.66,-0.06
30.35,8.3,0.66,-0.06
6.6,21.54,0.65,-0.05
9.9,25.49,0.65,-0.05
37.77,21.13,0.64,-0.04
30.18,5.26,0.64,-0.04
29.03,27.38,0.63,-0.03
36.78,22.03,0.63,-0.03
37.85,19.32,0.63,-0.03
29.19,21.54,0.62,-0.02
31.59,29.35,0.62,-0.02
32.0,20.47,0.61,-0.01
12.04,10.36,0.61,-0.01
29.69,24.75,0.61,-0.01
6.43,18.91,0.6,-0.0
29.77,7.07,0.6,0.0
36.95,18.42,0.59,0.01
8.66,24.83,0.58,0.02
28.62,28.69,0.58,0.02
33.98,10.28,0.57,0.03
32.49,28.53,0.57,0.03
30.35,26.97,0.56,0.04
10.89,10.77,0.56,0.04
14.27,22.28,0.56,0.04
14.18,24.75,0.55,0.05
35.79,18.33,0.55,0.05
13.44,29.84,0.55,0.05
9.32,9.29,0.55,0.05
14.43,29.35,0.54,0.06
12.45,29.35,0.54,0.06
29.36,29.84,0.53,0.07
7.09,22.69,0.52,0.08
33.57,28.77,0.52,0.08
30.51,30.01,0.52,0.08
28.7,24.01,0.52,0.08
9.81,10.28,0.52,0.08
9.07,20.22,0.52,0.08
7.5,18.58,0.52,0.08
28.53,22.53,0.52,0.08
34.06,25.07,0.52,0.08
31.5,27.79,0.51,0.09
32.74,29.6,0.51,0.09
14.27,27.62,0.5,0.1
34.89,9.54,0.49,0.11
12.29,20.64,0.49,0.11
31.59,10.52,0.49,0.11
35.87,23.51,0.48,0.12
34.56,4.52,0.48,0.12
9.57,4.77,0.48,0.12
33.4,27.79,0.47,0.13
8.58,6.91,0.47,0.13
12.21,28.36,0.47,0.13
34.8,18.99,0.47,0.13
35.21,8.63,0.46,0.14
14.93,28.45,0.46,0.14
11.71,3.78,0.46,0.14
33.48,11.26,0.45,0.15
32.33,3.45,0.45,0.15
34.31,27.54,0.45,0.15
13.2,27.38,0.45,0.15
10.89,20.47,0.45,0.15
8.41,18.99,0.45,0.15
33.07,20.06,0.45,0.15
29.52,20.47,0.45,0.15
13.77,4.69,0.45,0.15
14.1,8.8,0.44,0.16
30.43,9.54,0.44,0.16
31.01,19.9,0.44,0.16
29.44,6.08,0.44,0.16
30.35,25.65,0.44,0.16
13.11,10.36,0.43,0.17
5.53,21.29,0.43,0.17
31.75,25.81,0.43,0.17
12.21,26.14,0.43,0.17
29.61,26.31,0.43,0.17
14.68,6.74,0.43,0.17
11.46,29.35,0.43,0.17
14.18,21.29,0.42,0.18
13.28,20.55,0.42,0.18
34.06,19.57,0.42,0.18
35.54,6.58,0.42,0.18
34.39,26.64,0.42,0.18
13.94,25.73,0.42,0.18
32.49,11.35,0.42,0.18
10.8,26.31,0.42,0.18
33.57,26.88,0.42,0.18
33.65,29.84,0.42,0.18
11.63,11.43,0.41,0.19
34.39,11.26,0.41,0.19
32.49,27.54,0.41,0.19
8.58,8.63,0.41,0.19
28.04,27.87,0.41,0.19
32.16,30.34,0.41,0.19
12.62,30.34,0.41,0.19
30.27,4.19,0.41,0.19
34.97,10.44,0.41,0.19
7.67,24.58,0.4,0.2
34.47,28.45,0.4,0.2
36.7,23.1,0.4,0.2
35.13,27.29,0.4,0.2
11.79,30.17,0.4,0.2
10.97,30.09,0.4,0.2
9.98,11.26,0.4,0.2
10.64,29.35,0.4,0.2
13.2,26.23,0.4,0.2
13.86,9.7,0.4,0.2
28.04,23.35,0.4,0.2
36.29,17.51,0.39,0.21
15.09,22.85,0.39,0.21
28.7,24.99,0.39,0.21
31.34,26.88,0.39,0.21
28.45,29.68,0.39,0.21
10.06,28.77,0.39,0.21
10.06,29.92,0.39,0.21
15.09,24.17,0.39,0.21
31.34,30.5,0.39,0.21
9.98,20.06,0.39,0.21
8.33,7.73,0.39,0.21
35.21,26.47,0.39,0.21
6.85,17.92,0.39,0.21
5.44,18.91,0.39,0.21
8.91,25.81,0.39,0.21
28.78,26.39,0.38,0.22
30.68,10.36,0.38,0.22
30.1,19.81,0.38,0.22
38.43,20.22,0.38,0.22
9.32,28.53,0.38,0.22
34.14,3.7,0.38,0.22
35.3,5.1,0.38,0.22
8.91,10.19,0.38,0.22
34.97,25.07,0.38,0.22
33.57,25.9,0.38,0.22
12.62,11.18,0.38,0.22
34.89,18.09,0.38,0.22
32.99,30.5,0.38,0.22
6.93,23.68,0.38,0.22
11.3,28.53,0.38,0.22
14.27,30.34,0.38,0.22
12.29,27.46,0.38,0.22
30.93,26.23,0.38,0.22
37.94,18.25,0.38,0.22
8.33,18.09,0.38,0.22
29.11,25.65,0.37,0.23
9.24,19.32,0.37,0.23
34.06,12.0,0.37,0.23
35.63,24.58,0.37,0.23
28.12,21.7,0.37,0.23
32.82,26.23,0.37,0.23
10.64,11.67,0.37,0.23
9.15,27.79,0.37,0.23
29.36,7.97,0.37,0.23
33.24,3.29,0.37,0.23
35.21,14.06,0.37,0.23
35.46,17.43,0.37,0.23
9.48,29.35,0.37,0.23
34.56,25.81,0.37,0.23
31.5,3.21,0.37,0.23
35.21,13.32,0.37,0.23
37.77,22.2,0.37,0.23
29.85,30.66,0.37,0.23
28.12,26.88,0.37,0.23
37.11,17.43,0.37,0.23
31.67,11.43,0.37,0.23
15.34,29.19,0.36,0.24
9.9,3.95,0.36,0.24
14.76,25.49,0.36,0.24
9.9,28.03,0.36,0.24
11.63,20.06,0.36,0.24
28.7,20.64,0.36,0.24
8.74,5.1,0.36,0.24
9.4,26.39,0.36,0.24
35.87,26.88,0.36,0.24
13.61,30.75,0.36,0.24
6.19,22.53,0.36,0.24
31.75,19.48,0.36,0.24
8.33,6.08,0.36,0.24
8.58,28.45,0.36,0.24
35.71,5.75,0.36,0.24
34.8,11.92,0.36,0.24
33.32,12.09,0.36,0.24
15.17,27.62,0.36,0.24
35.79,25.98,0.36,0.24
35.21,28.12,0.36,0.24
35.79,7.89,0.36,0.24
34.56,13.65,0.36,0.24
34.64,12.82,0.36,0.24
29.69,9.13,0.36,0.24
8.41,27.71,0.36,0.24
14.51,5.01,0.36,0.24
15.5,23.51,0.36,0.24
13.36,3.95,0.36,0.24
34.56,14.39,0.35,0.25
10.47,30.66,0.35,0.25
30.76,3.45,0.35,0.25
7.59,17.68,0.35,0.25
14.76,8.3,0.35,0.25
35.21,14.8,0.35,0.25
10.89,3.54,0.35,0.25
35.21,11.18,0.35,0.25
13.94,26.55,0.35,0.25
14.93,21.62,0.35,0.25
9.24,11.02,0.35,0.25
35.71,9.29,0.35,0.25
35.3,12.5,0.35,0.25
28.86,6.74,0.35,0.25
12.7,19.9,0.35,0.25
35.87,13.65,0.35,0.25
34.31,29.27,0.35,0.25
9.07,27.05,0.35,0.25
35.79,27.71,0.35,0.25
35.87,14.39,0.35,0.25
32.16,26.55,0.35,0.25
8.99,18.42,0.35,0.25
6.1,18.0,0.35,0.25
10.64,28.2,0.35,0.25
29.52,4.52,0.34,0.26
28.04,24.58,0.34,0.26
12.54,3.54,0.34,0.26
8.41,9.45,0.34,0.26
14.93,7.48,0.34,0.26
11.3,30.83,0.34,0.26
33.9,12.74,0.34,0.26
15.26,24.91,0.34,0.26
36.04,16.77,0.34,0.26
35.63,10.03,0.34,0.26
14.93,6.0,0.34,0.26
5.61,22.11,0.34,0.26
36.04,15.13,0.34,0.26
32.49,19.48,0.34,0.26
8.0,25.49,0.34,0.26
9.73,30.58,0.34,0.26
11.55,26.64,0.34,0.26
30.93,11.1,0.34,0.26
12.12,30.91,0.34,0.26
29.03,30.66,0.34,0.26
10.06,26.64,0.34,0.26
14.1,20.47,0.34,0.26
9.73,27.29,0.34,0.26
29.19,5.26,0.34,0.26
11.63,27.79,0.33,0.27
35.46,15.54,0.33,0.27
36.53,24.01,0.33,0.27
36.37,26.39,0.33,0.27
32.08,12.0,0.33,0.27
37.44,22.85,0.33,0.27
15.42,22.2,0.33,0.27
12.29,11.84,0.33,0.27
8.74,29.19,0.33,0.27
9.24,30.09,0.33,0.27
7.83,6.58,0.33,0.27
11.22,12.17,0.33,0.27
